Voltage_V,Current_uA
-0.1506,-49.8988
-0.1474,-49.4988
-0.1442,-48.6987
-0.1410,-48.6987
-0.1378,-49.0988
-0.1346,-49.8988
-0.1314,-48.6987
-0.1282,-49.4988
-0.1250,-48.6987
-0.1218,-48.2988
-0.1186,-48.2988
-0.1154,-49.0988
-0.1122,-48.2988
-0.1090,-49.4988
-0.1058,-49.4988
-0.1026,-48.6987
-0.0994,-49.0988
-0.0962,-49.4988
-0.0929,-49.4988
-0.0897,-49.0988
-0.0865,-49.0988
-0.0833,-48.6987
-0.0801,-48.6987
-0.0769,-49.0988
-0.0737,-49.0988
-0.0705,-49.0988
-0.0673,-49.4988
-0.0641,-47.8988
-0.0609,-49.4988
-0.0577,-48.6987
-0.0545,-48.6987
-0.0513,-49.0988
-0.0481,-48.2988
-0.0449,-48.6987
-0.0417,-49.4988
-0.0385,-49.0988
-0.0353,-48.6987
-0.0321,-49.4988
-0.0288,-49.0988
-0.0256,-49.0988
-0.0224,-49.0988
-0.0192,-49.0988
-0.0160,-48.2988
-0.0128,-48.6987
-0.0096,-49.0988
-0.0064,-49.0988
-0.0032,-49.0988
0.0000,-49.4988
0.0032,-48.6987
0.0064,-49.4988
0.0096,-48.6987
0.0128,-49.4988
0.0160,-49.0988
0.0192,-49.0988
0.0224,-48.2988
0.0256,-48.6987
0.0288,-48.2988
0.0321,-47.8988
0.0353,-49.0988
0.0385,-49.0988
0.0417,-49.4988
0.0449,-49.0988
0.0481,-48.6987
0.0513,-49.4988
0.0545,-49.0988
0.0577,-48.6987
0.0609,-49.0988
0.0641,-49.4988
0.0673,-48.6987
0.0705,-49.4988
0.0737,-49.0988
0.0769,-49.4988
0.0801,-49.4988
0.0833,-48.6987
0.0865,-48.6987
0.0897,-49.0988
0.0929,-49.4988
0.0962,-49.0988
0.0994,-49.8988
0.1026,-49.4988
0.1058,-48.2988
0.1090,-49.0988
0.1122,-47.8988
0.1154,-49.0988
0.1186,-49.0988
0.1218,-48.2988
0.1250,-48.2988
0.1282,-49.0988
0.1314,-49.4988
0.1346,-48.6987
0.1378,-49.0988
0.1410,-49.0988
0.1442,-48.6987
0.1474,-49.4988
0.1506,-48.2988
0.1538,-49.0988
0.1571,-49.0988
0.1603,-49.8988
0.1635,-49.0988
0.1667,-49.0988
0.1699,-49.4988
0.1731,-49.0988
0.1763,-48.6987
0.1795,-49.4988
0.1827,-48.2988
0.1859,-48.6987
0.1891,-48.6987
0.1923,-48.6987
0.1955,-49.0988
0.1987,-49.0988
0.2019,-49.8988
0.2051,-49.0988
0.2083,-49.4988
0.2115,-48.6987
0.2147,-49.0988
0.2179,-49.0988
0.2212,-49.8988
0.2244,-49.0988
0.2276,-49.4988
0.2308,-48.6987
0.2340,-49.4988
0.2372,-49.4988
0.2404,-49.0988
0.2436,-48.6987
0.2468,-49.4988
0.2500,-49.4988
0.2532,-47.8988
0.2564,-49.0988
0.2596,-48.6987
0.2628,-48.2988
0.2660,-49.0988
0.2692,-49.0988
0.2724,-49.4988
0.2756,-48.6987
0.2788,-49.0988
0.2821,-49.0988
0.2853,-49.0988
0.2885,-49.0988
0.2917,-47.8988
0.2949,-49.4988
0.2981,-49.0988
0.3013,-49.4988
0.3045,-48.6987
0.3077,-49.4988
0.3109,-49.0988
0.3141,-48.6987
0.3173,-48.2988
0.3205,-49.4988
0.3237,-48.6987
0.3269,-48.6987
0.3301,-48.2988
0.3333,-49.4988
0.3365,-49.4988
0.3397,-49.0988
0.3429,-48.6987
0.3462,-48.6987
0.3494,-49.4988
0.3526,-49.8988
0.3558,-48.2988
0.3590,-48.6987
0.3622,-48.6987
0.3654,-48.6987
0.3686,-49.4988
0.3718,-48.2988
0.3750,-48.2988
0.3782,-49.4988
0.3814,-49.0988
0.3846,-49.0988
0.3878,-49.8988
0.3910,-49.4988
0.3942,-49.4988
0.3974,-49.4988
0.4006,-48.2988
0.4038,-49.4988
0.4071,-48.2988
0.4103,-48.2988
0.4135,-48.6987
0.4167,-49.4988
0.4199,-49.0988
0.4231,-49.4988
0.4263,-48.2988
0.4295,-48.6987
0.4327,-49.0988
0.4359,-48.6987
0.4391,-48.6987
0.4423,-49.0988
0.4455,-49.0988
0.4487,-49.0988
0.4519,-49.4988
0.4551,-48.2988
0.4583,-48.6987
0.4615,-49.0988
0.4647,-49.0988
0.4679,-49.0988
0.4712,-49.0988
0.4744,-48.6987
0.4776,-49.0988
0.4808,-49.8988
0.4840,-49.4988
0.4872,-49.0988
0.4904,-49.0988
0.4936,-49.0988
0.4968,-49.0988
0.5000,-49.0988
0.5032,-48.6987
0.5064,-48.6987
0.5096,-48.6987
0.5128,-49.4988
0.5160,-48.6987
0.5192,-49.0988
0.5224,-49.0988
0.5256,-49.0988
0.5288,-49.0988
0.5321,-48.6987
0.5353,-49.0988
0.5385,-48.6987
0.5417,-49.4988
0.5449,-48.6987
0.5481,-48.2988
0.5513,-49.4988
0.5545,-49.0988
0.5577,-48.6987
0.5609,-49.0988
0.5641,-49.0988
0.5673,-49.4988
0.5705,-49.0988
0.5737,-48.2988
0.5769,-48.6987
0.5801,-48.6987
0.5833,-49.4988
0.5865,-49.8988
